设备编号,下单时间,订单编号,购买数量（个）,手续费（元）,总金额（元）,支付状态,出货状态,收款方,退款金额（元）,购买用户,商品ID,商品详情,省市区,软件版本
112675,2018/9/22 17:27,112675qr15376084485886,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0gCYGmA7NBogfTJ3x7AwR3k,商品0015,东鹏特饮X1,广东省广州市白云区,V3.0.37;rk3288;(900x1440)
112670,2018/9/22 17:26,112670qr15376083601545,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0iOxuJAPyJXjEcpPRV2EQ7Q,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
113013,2018/9/22 17:25,113013qr15376083491212,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0pscDf4_3xiQrJ0yJhDL7bQ,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
112670,2018/9/22 17:19,112670qr15376079797377,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0mcccz5JSLN6QYXc2oSv0A0,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112887,2018/9/22 17:19,112887qr15376079472953,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0glDSw_llg2p7xfpAW9MMTw,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
113010,2018/9/22 17:15,113010qr15376077246890,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0k5MfsBfLJYYxupueP-lEYQ,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
113090,2018/9/22 17:02,113090qr15376069274834,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0sJI6Q2Pwdz-y9cg8qFVGa4,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
113089,2018/9/22 16:43,113089qr15376058067955,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0tWu2ZoQgOsFtc6IP-50l8o,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
113013,2018/9/22 16:41,113013qr15376057113615,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0mypKYi9fZnnaahlxONSDaQ,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
113013,2018/9/22 16:41,113013qr15376056747332,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0qazagbbO0FGBfnHye4VE9M,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
113013,2018/9/22 16:40,113013qr15376056419579,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0k6gMDSwP0M5RXDaJQ3ZedY,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
113013,2018/9/22 16:40,113013qr15376056031260,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0nbHXjHMG8wmGOAAthntWGg,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
113089,2018/9/22 16:19,113089qr15376043675564,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0rbqe1QATljOSs0BiX6efkM,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
113014,2018/9/22 15:56,113014qr15376030077979,1,0.03,3.5,微信,出货成功,平台,0.0,os-xL0incauYnn-FiUaFAWFG3Do0,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
112841,2018/9/22 15:52,112841qr15376027616221,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0hvuS6zvs7WHN6_65MA0CjI,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37;rk3288;(900x1440)
113612,2018/9/22 15:43,113612dc15376022381508,1,0.0,3.5,现金,出货成功,售货机自收,0.0,os-xL0qYwYUW0Nr_binIE5M4jBBc,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
113612,2018/9/22 15:37,113612qr15376018477083,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0vmFqQU714c9jLa9yfZRMbw,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
112876,2018/9/22 15:31,112876qr15376014898177,1,0.03,3.5,微信,出货成功,平台,0.0,os-xL0srhI0cxDtX-ziairOOVGG0,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
112876,2018/9/22 15:24,112876qr15376010285575,1,0.03,3.5,微信,出货成功,平台,0.0,os-xL0i7PLGCpu5zTO8YsMRgRuM0,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
113010,2018/9/22 15:16,113010qr15376005595289,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0mQrwYz89XLMC8Tjsvi71U8,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
113043,2018/9/22 15:13,113043qr15376003861588,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0hCK8vHfTUl46kFyK52_F6w,商品0015,东鹏特饮X1,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
